#Mapping quality	mapping quality
0.0	1501678.0
1.0	2.5628151E7
2.0	923309.0
3.0	663526.0
4.0	505936.0
5.0	404323.0
6.0	372556.0
7.0	318095.0
8.0	271455.0
9.0	273518.0
10.0	211895.0
11.0	335154.0
12.0	197528.0
13.0	193132.0
14.0	233495.0
15.0	201111.0
16.0	186810.0
17.0	225888.0
18.0	214125.0
19.0	175910.0
20.0	165975.0
21.0	212613.0
22.0	241201.0
23.0	181715.0
24.0	209684.0
25.0	223176.0
26.0	209408.0
27.0	212148.0
28.0	245432.0
29.0	224938.0
30.0	221638.0
31.0	245193.0
32.0	265152.0
33.0	301725.0
34.0	314327.0
35.0	314699.0
36.0	427582.0
37.0	412867.0
38.0	471543.0
39.0	515186.0
40.0	689866.0
41.0	951354.0
42.0	1595746.0
43.0	4822266.0
44.0	2.0244074E7
