#GC Content (%)	Sample
1.0	3.1752472961975463E-7
2.0	6.350494592395093E-7
3.0	3.1752472961975463E-7
4.0	2.8577225665777918E-6
5.0	1.905148377718528E-6
6.0	5.7154451331555835E-6
7.0	3.1752472961975464E-6
8.0	2.540197836958037E-6
9.0	6.350494592395092E-6
10.0	5.080395673916074E-6
11.0	4.7628709442963195E-6
12.0	7.303068781254356E-6
13.0	1.0160791347832148E-5
14.0	1.4606137562508714E-5
15.0	2.603702782881988E-5
16.0	3.715039336551129E-5
17.0	6.001217389813362E-5
18.0	7.461831146064235E-5
19.0	1.2573979292942284E-4
20.0	1.8670454101641574E-4
21.0	2.771990889580458E-4
22.0	4.435820472787972E-4
23.0	6.75375099901218E-4
24.0	9.89724582224775E-4
25.0	0.0018054456126179248
26.0	0.002027712923351753
27.0	0.003188583334841576
28.0	0.0044913873004714285
29.0	0.00612060668815039
30.0	0.007926369825497935
31.0	0.010149995507025075
32.0	0.012886423626888122
33.0	0.016037221518904944
34.0	0.019845613125964286
35.0	0.02318502070737524
36.0	0.028211754701985576
37.0	0.03376557974776471
38.0	0.040688571427664216
39.0	0.04683807286621
40.0	0.05385822711337316
41.0	0.05818481907917193
42.0	0.061860802873979825
43.0	0.06432638239947722
44.0	0.06781629670272794
45.0	0.06591781634433144
46.0	0.06225866136019339
47.0	0.05659814800526203
48.0	0.05023685757205986
49.0	0.04091718923299044
50.0	0.032471983999293824
51.0	0.029501857678430637
52.0	0.018533283418445838
53.0	0.0184250074856455
54.0	0.014907151006188241
55.0	0.012310116242628264
56.0	0.009308872498262346
57.0	0.006001852439272601
58.0	0.0041700522740962375
59.0	0.003239704816310356
60.0	0.0023954065602514287
61.0	0.0018076682857252628
62.0	0.0013726594061461994
63.0	9.608298318293774E-4
64.0	6.683895558495834E-4
65.0	5.51222930619894E-4
66.0	4.280233355274292E-4
67.0	2.4227136869987278E-4
68.0	1.2224702090360553E-4
69.0	7.461831146064233E-5
70.0	8.954197375277079E-5
71.0	6.191732227585215E-5
72.0	5.0168907279921234E-5
73.0	6.064722335737313E-5
74.0	4.096069012094835E-5
75.0	2.9529799854637182E-5
76.0	2.5084453639960617E-5
77.0	1.4606137562508712E-5
78.0	6.350494592395092E-6
79.0	2.2226731073382824E-6
80.0	3.4927720258173007E-6
81.0	1.2700989184790185E-6
82.0	0.0
83.0	0.0
84.0	1.2700989184790185E-6
85.0	3.1752472961975463E-7
86.0	3.1752472961975463E-7
87.0	0.0
88.0	3.1752472961975463E-7
89.0	0.0
90.0	0.0
91.0	3.1752472961975463E-7
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.3018513914409939E-5
