#Read position (bp)	Clipping profile
0.0	4.2604589748443855
1.0	3.5917039566097064
2.0	2.9174805962926804
3.0	2.276575692162605
4.0	2.129030535406334
5.0	1.9945917856614865
6.0	1.8554973391071445
7.0	1.743904730111898
8.0	1.6594176439860306
9.0	1.5790818541554736
10.0	1.5080494515865377
11.0	1.4441987515767019
12.0	1.3767451907512642
13.0	1.314147485669521
14.0	1.2555889878799362
15.0	1.1978311258271517
16.0	1.1406056865393397
17.0	1.0889246497288707
18.0	1.0366111106863294
19.0	0.9874720923402018
20.0	0.9406989525963196
21.0	0.8944742483321456
22.0	0.8506634608144251
23.0	0.8084459384129374
24.0	0.7692948508833954
25.0	0.731076503987226
26.0	0.6933945830347129
27.0	0.6571778254805445
28.0	0.6322460286365785
29.0	0.6067377740621163
30.0	0.5828668195694109
31.0	0.5609133876663426
32.0	0.5415820378012958
33.0	0.5240401088079979
34.0	0.5057415790434237
35.0	0.49150627564311167
36.0	0.47597794552786693
37.0	0.4619988455633311
38.0	0.45226711818252163
39.0	0.4406018554973391
40.0	0.4328356888503747
41.0	0.42739937219749974
42.0	0.42424887057318994
43.0	0.42281573260431715
44.0	0.42331212676113344
45.0	0.4258581484041588
46.0	0.43159870663701805
47.0	0.4397051434721226
48.0	0.4489444798747998
49.0	0.4584560324279891
50.0	0.4700292220034396
51.0	0.4840523569334995
52.0	0.5007215929736848
53.0	0.5180793757475185
54.0	0.5342281985587836
55.0	0.5536876501417185
56.0	0.5733232415867495
57.0	0.5947362443674775
58.0	0.618639224289655
59.0	0.6430706237981206
60.0	0.6699599750185637
61.0	0.7052519982967276
62.0	0.7428538556755606
63.0	0.7815966189793343
64.0	0.8229254357129736
65.0	0.8629412098382601
66.0	0.9103628645289505
67.0	0.9626483813207038
68.0	1.010910703535035
69.0	1.055750307974544
70.0	1.1049613835369838
71.0	1.1573589893318892
72.0	1.2075868722800653
73.0	1.2627826999750882
74.0	1.3186630712250755
75.0	1.377874087140153
76.0	1.4376535544283582
77.0	1.4968405512713314
78.0	1.5637656925104808
79.0	1.6379485967037266
80.0	1.7154421296686422
81.0	1.7936762506900978
82.0	1.8991880312643452
83.0	2.0069976364032094
84.0	2.143173765696914
85.0	2.692165687242298
86.0	3.236698067733703
87.0	3.616655769347092
