#Position (bp)	insert size	chromosomes
1134473.0	161.87752808988765	0.0
1141195.0	166.0870870870871	448.0
1147913.5	158.20408163265307	0.0
1154618.0	159.23150816522573	0.0
1161301.0	159.24482109227873	448.0
1167972.5	164.08823529411765	0.0
1174635.0	150.54901960784315	0.0
1181290.0	154.90710900473934	448.0
1187945.0	158.21319796954316	0.0
1194597.5	158.59114583333334	0.0
1201244.5	149.65822784810126	448.0
1207883.0	150.92753623188406	0.0
1214513.5	157.21516393442624	0.0
1221140.5	167.996336996337	448.0
1227757.5	162.5180299032542	0.0
1234365.0	158.33532423208192	0.0
1240970.5	150.44541484716157	448.0
1247570.5	162.59653916211292	0.0
1254162.5	155.54057771664375	0.0
1260746.5	160.7112676056338	448.0
1267323.0	155.99591732584844	0.0
1273891.0	121.07789934354486	0.0
1280445.0	152.69042769857433	448.0
1286962.5	160.75211097708083	0.0
1293446.5	156.98128898128897	0.0
1299924.5	158.62825278810408	448.0
1306401.0	156.96144174350377	0.0
1310999.5	157.1505376344086	0.0
1314236.5	159.42424242424244	448.0
1319346.5	164.37857142857143	0.0
1325814.0	157.66549912434326	0.0
1332281.0	150.5804816223067	448.0
1338743.0	160.34888989578613	0.0
1345199.5	162.05830610706207	0.0
1351651.0	168.84466019417476	448.0
1358098.0	154.89333333333335	0.0
1364542.0	159.9289026275116	0.0
1370980.5	160.97305699481865	448.0
1377416.0	160.8485401459854	0.0
1383849.5	157.11725663716814	0.0
1390277.0	163.23076923076923	448.0
1396691.5	163.2273413897281	0.0
1403096.0	160.5274193548387	0.0
1409495.0	152.4558303886926	448.0
1415884.0	156.05708013172338	0.0
1422266.5	155.81480422977992	0.0
1428647.5	153.89594742606792	448.0
1435017.5	160.9572192513369	0.0
1441376.0	157.33253588516746	0.0
1447732.5	155.96681415929203	448.0
1454085.5	161.42374517374517	0.0
1460426.5	158.22137404580153	0.0
1466754.5	153.8221859706362	448.0
1473074.0	156.90343915343917	0.0
1479389.0	160.09985734664764	0.0
1485690.5	164.14647887323943	448.0
1491978.5	160.0486725663717	0.0
1497481.5	156.01083032490973	0.0
1500624.5	159.9205298013245	448.0
1504551.5	160.95382746051033	0.0
1510836.0	159.268221574344	0.0
1517118.5	156.81415929203538	448.0
1523400.5	155.49526813880126	0.0
1529679.0	157.12258796821794	0.0
1535953.0	155.40609951845906	448.0
1542223.5	154.09635416666666	0.0
1548490.0	155.08687258687257	0.0
1554753.5	151.52631578947367	448.0
1561014.5	159.7454128440367	0.0
1567274.5	177.71052631578948	0.0
1573533.5	166.0223463687151	448.0
1579786.5	161.21016949152542	0.0
1586031.5	164.06060606060606	0.0
1592273.0	162.71444823663253	448.0
1598509.5	151.51063829787233	0.0
1604740.0	156.24727838258164	0.0
1610968.0	154.92108108108107	448.0
1617179.0	157.64918032786886	0.0
1623374.0	160.79855247285886	0.0
1629567.0	158.2	448.0
1635757.0	159.59826410415374	0.0
1641946.0	162.71923076923076	0.0
1648135.0	160.1306818181818	448.0
1654321.5	162.71134020618555	0.0
1660503.0	158.32518382352941	0.0
1666680.5	159.19368421052633	448.0
1672854.5	154.92592592592592	0.0
1679024.5	159.9951768488746	0.0
1684714.5	159.8177570093458	448.0
1687798.5	158.1304347826087	0.0
1691358.5	158.07552870090635	0.0
1697522.0	158.9580792682927	448.0
1703683.0	158.33264887063655	0.0
1709840.5	156.87710901041044	0.0
1715996.5	150.1380042462845	448.0
1722152.0	157.65615141955837	0.0
1728305.0	158.50451807228916	0.0
1734453.5	156.46470588235294	448.0
1740597.0	163.5	0.0
1746738.0	158.35	0.0
1752877.0	162.77777777777777	448.0
1759013.5	159.0198275862069	0.0
