#Coverage (X)	Coverage
1.0	89.2859528357484
2.0	81.57377701055269
3.0	74.29071502593851
4.0	68.40070351734
5.0	63.48005057355972
6.0	59.35629323516966
7.0	55.806741687802884
8.0	52.71459109071391
9.0	49.971550872492585
10.0	47.485481570607334
11.0	45.220671259127094
12.0	43.150573019660634
13.0	41.246294342624736
14.0	39.482797808905794
15.0	37.83687686733028
16.0	36.307615417188195
17.0	34.872606995262345
18.0	33.53345311094533
19.0	32.27592553341364
20.0	31.09280213538142
21.0	29.982838780076563
22.0	28.937134488984825
23.0	27.948748499085
24.0	27.014236431725067
25.0	26.131743416326245
26.0	25.295339467652155
27.0	24.502558981317364
28.0	23.749200162071162
29.0	23.03300942883655
30.0	22.348203479169143
31.0	21.70102299912837
32.0	21.080962833847536
33.0	20.49311020924901
34.0	19.932715269832002
35.0	19.39541620275456
36.0	18.88579884548642
37.0	18.399018665451962
38.0	17.935574384143976
39.0	17.49092283545039
40.0	17.063745207723187
41.0	16.655312307333006
42.0	16.265157416305314
43.0	15.89181637368003
44.0	15.530663337589601
45.0	15.18480398278453
46.0	14.851910053311883
47.0	14.531586839113203
48.0	14.222282169553196
49.0	13.926805686838534
50.0	13.643445202742654
51.0	13.36926572794573
