#Insert size (bp)	insert size
22.0	8.0
23.0	40.0
24.0	91.0
25.0	176.0
26.0	271.0
27.0	372.0
28.0	497.0
29.0	692.0
30.0	839.0
31.0	1001.0
32.0	1241.0
33.0	1483.0
34.0	1723.0
35.0	2073.0
36.0	2269.0
37.0	2550.0
38.0	3021.0
39.0	3354.0
40.0	4438.0
41.0	4870.0
42.0	5495.0
43.0	5799.0
44.0	6405.0
45.0	6925.0
46.0	7493.0
47.0	8097.0
48.0	8889.0
49.0	9284.0
50.0	10188.0
51.0	10868.0
52.0	11972.0
53.0	12351.0
54.0	13105.0
55.0	13928.0
56.0	15572.0
57.0	16953.0
58.0	17167.0
59.0	18615.0
60.0	19547.0
61.0	20693.0
62.0	23479.0
63.0	23811.0
64.0	25528.0
65.0	27214.0
66.0	30247.0
67.0	32564.0
68.0	34418.0
69.0	38516.0
70.0	39288.0
71.0	41713.0
72.0	44073.0
73.0	48176.0
74.0	50290.0
75.0	54683.0
76.0	58852.0
77.0	66321.0
78.0	68740.0
79.0	72795.0
80.0	77302.0
81.0	82310.0
82.0	88159.0
83.0	93507.0
84.0	98547.0
85.0	105649.0
86.0	114932.0
87.0	134006.0
88.0	289291.0
89.0	154565.0
90.0	159850.0
91.0	164442.0
92.0	168319.0
93.0	174938.0
94.0	181610.0
95.0	186627.0
96.0	194369.0
97.0	201085.0
98.0	209289.0
99.0	213668.0
100.0	219826.0
101.0	224143.0
102.0	225681.0
103.0	231231.0
104.0	231258.0
105.0	236113.0
106.0	239415.0
107.0	244002.0
108.0	250104.0
109.0	251669.0
110.0	254392.0
111.0	256280.0
112.0	255779.0
113.0	256469.0
114.0	255440.0
115.0	253946.0
116.0	254842.0
117.0	258648.0
118.0	258431.0
119.0	257854.0
120.0	261727.0
121.0	257263.0
122.0	258351.0
123.0	255561.0
124.0	252924.0
125.0	251788.0
126.0	249068.0
127.0	245200.0
128.0	246596.0
129.0	245194.0
130.0	242788.0
131.0	241505.0
132.0	240520.0
133.0	236028.0
134.0	230602.0
135.0	228994.0
136.0	224886.0
137.0	222835.0
138.0	221277.0
139.0	219150.0
140.0	218605.0
141.0	215138.0
142.0	211364.0
143.0	211747.0
144.0	205665.0
145.0	202779.0
146.0	196839.0
147.0	195660.0
148.0	191658.0
149.0	190018.0
150.0	188962.0
151.0	186432.0
152.0	184099.0
153.0	181079.0
154.0	179977.0
155.0	174644.0
156.0	172237.0
157.0	168217.0
158.0	164586.0
159.0	164324.0
160.0	161816.0
161.0	159769.0
162.0	157221.0
163.0	153923.0
164.0	152507.0
165.0	147398.0
166.0	146214.0
167.0	143629.0
168.0	140273.0
169.0	136900.0
170.0	134755.0
171.0	134540.0
172.0	131370.0
173.0	129442.0
174.0	129055.0
175.0	124776.0
176.0	122973.0
177.0	119578.0
178.0	118764.0
179.0	115450.0
180.0	114581.0
181.0	113463.0
182.0	110656.0
183.0	109315.0
184.0	107345.0
185.0	104451.0
186.0	102983.0
187.0	100964.0
188.0	98060.0
189.0	97673.0
190.0	95092.0
191.0	92529.0
192.0	92047.0
193.0	90639.0
194.0	89638.0
195.0	88176.0
196.0	86441.0
197.0	86662.0
198.0	83098.0
199.0	81521.0
200.0	79238.0
201.0	78966.0
202.0	77002.0
203.0	75276.0
204.0	74451.0
205.0	72922.0
206.0	71232.0
207.0	70824.0
208.0	69673.0
209.0	68535.0
210.0	66630.0
211.0	65257.0
212.0	64479.0
213.0	63810.0
214.0	61808.0
215.0	60812.0
216.0	59778.0
217.0	59184.0
218.0	58170.0
219.0	57498.0
220.0	56019.0
221.0	55278.0
222.0	53779.0
223.0	53506.0
224.0	52100.0
225.0	50966.0
226.0	50650.0
227.0	49381.0
228.0	48854.0
229.0	48084.0
230.0	46670.0
231.0	45726.0
232.0	44575.0
233.0	44184.0
234.0	43221.0
235.0	42706.0
236.0	41810.0
237.0	41292.0
238.0	40704.0
239.0	40291.0
240.0	39448.0
241.0	38806.0
242.0	37842.0
243.0	37248.0
244.0	36236.0
245.0	35957.0
246.0	35161.0
247.0	34593.0
248.0	33877.0
249.0	33986.0
250.0	33160.0
251.0	31880.0
252.0	31552.0
253.0	30906.0
254.0	30252.0
255.0	29854.0
256.0	29393.0
257.0	29072.0
258.0	28346.0
259.0	27884.0
260.0	28071.0
261.0	26846.0
262.0	26843.0
263.0	26118.0
264.0	25523.0
265.0	25124.0
266.0	24916.0
267.0	24512.0
268.0	23815.0
269.0	23138.0
270.0	22969.0
271.0	22597.0
272.0	22557.0
273.0	21765.0
274.0	21547.0
275.0	20643.0
276.0	20580.0
277.0	20284.0
278.0	19755.0
279.0	19905.0
280.0	18995.0
281.0	18947.0
282.0	18669.0
283.0	18184.0
284.0	18028.0
285.0	17679.0
286.0	17299.0
287.0	17074.0
288.0	16836.0
289.0	16719.0
290.0	16120.0
291.0	16122.0
292.0	15661.0
293.0	15326.0
294.0	15359.0
295.0	14776.0
296.0	14663.0
297.0	14488.0
298.0	14304.0
299.0	13955.0
300.0	13671.0
301.0	13684.0
302.0	13342.0
303.0	12965.0
304.0	12669.0
305.0	12557.0
306.0	12500.0
307.0	12056.0
308.0	11735.0
309.0	12041.0
310.0	11653.0
311.0	11244.0
312.0	11288.0
313.0	10986.0
314.0	10826.0
315.0	10946.0
316.0	10443.0
317.0	10300.0
318.0	10233.0
319.0	9987.0
320.0	9520.0
321.0	9690.0
322.0	9522.0
323.0	9400.0
324.0	9354.0
325.0	9072.0
326.0	8814.0
327.0	8698.0
328.0	8583.0
329.0	8569.0
330.0	8530.0
331.0	8326.0
332.0	8263.0
333.0	7955.0
334.0	7951.0
335.0	7805.0
336.0	7748.0
337.0	7647.0
338.0	7489.0
339.0	7610.0
340.0	7294.0
341.0	7237.0
342.0	7099.0
343.0	6984.0
344.0	6813.0
345.0	6778.0
346.0	6763.0
347.0	6318.0
348.0	6544.0
349.0	6307.0
350.0	6255.0
351.0	5924.0
352.0	6126.0
353.0	6021.0
354.0	5846.0
355.0	5814.0
356.0	5755.0
