#Position (bp)	insert size	chromosomes
7920.0	153.25851347349717	0.0
23233.0	154.95791505791505	344.0
37327.5	156.334672021419	0.0
50665.5	155.90387323943662	0.0
63701.5	147.91576059548544	344.0
76465.5	153.9088560885609	0.0
89016.5	154.53224043715846	0.0
101377.5	154.72912280701755	344.0
113514.5	155.92146596858638	0.0
125434.0	152.52741514360312	0.0
137300.5	154.26	344.0
148889.0	152.9821893410056	0.0
159968.0	150.99657534246575	0.0
170703.0	151.63706140350877	344.0
181289.5	153.61285781323323	0.0
187010.5	148.2325581395349	0.0
192238.5	154.5278810408922	344.0
202103.5	153.15842134519178	0.0
212263.5	151.12068076328003	0.0
222346.5	152.69969278033795	344.0
232301.5	151.81569560047564	0.0
242145.0	158.3506711409396	0.0
251881.0	153.0826833073323	344.0
261464.5	155.85714285714286	0.0
270978.0	147.69411764705882	0.0
280379.0	155.62587412587413	344.0
289584.0	150.57746478873239	0.0
298647.5	154.93307839388146	0.0
307521.5	148.2166080843585	344.0
316214.0	152.58851674641147	0.0
324845.0	152.67743979721166	0.0
333443.0	149.87775330396477	344.0
342014.5	151.1875	0.0
350518.5	152.11111111111111	0.0
358972.0	155.78612716763007	344.0
367379.5	151.4018589393111	0.0
373262.0	151.08678500986193	0.0
377439.0	155.04148148148147	344.0
384083.0	157.83601286173632	0.0
392367.5	153.69163424124514	0.0
400577.5	152.9225941422594	344.0
408756.0	152.25776836158192	0.0
416913.0	156.38922155688624	0.0
425047.5	148.48251542756392	344.0
433166.0	148.3171339563863	0.0
441240.0	152.2476370510397	0.0
449272.5	147.18560933448575	344.0
457292.5	150.25219185146983	0.0
465308.0	147.13671875	0.0
473322.5	152.32352396816583	344.0
481331.0	151.2891891891892	0.0
489307.0	151.0532544378698	0.0
497252.0	147.42720883534136	344.0
505179.0	152.57273652085453	0.0
513089.5	152.57477477477477	0.0
520987.0	151.5503173164098	344.0
528834.0	155.46746987951806	0.0
536627.0	153.65581395348838	0.0
544401.0	154.89444132509826	344.0
552166.5	157.5109489051095	0.0
559244.0	151.04829721362228	0.0
563117.0	138.3108108108108	344.0
567661.5	150.4608540925267	0.0
575393.0	151.93103448275863	0.0
583117.5	151.52033368091762	344.0
590837.0	152.23053278688525	0.0
598549.5	152.8780487804878	0.0
606234.5	149.20790629575401	344.0
613887.0	147.16133720930233	0.0
621529.0	151.72029250457038	0.0
629169.0	156.62935779816513	344.0
636796.0	151.94077356970186	0.0
644410.5	149.361174850849	0.0
652022.0	146.474540008558	344.0
659628.5	153.64403973509934	0.0
667200.0	157.43241106719367	0.0
674731.0	151.658940397351	344.0
682245.0	151.9095143047239	0.0
689747.5	153.74276778733386	0.0
697241.5	156.06446540880503	344.0
704724.5	150.67652495378928	0.0
712177.5	152.6879535558781	0.0
719596.5	151.96050955414012	344.0
727003.0	153.36119402985074	0.0
734401.5	151.17869415807561	0.0
741793.5	162.6201449103219	344.0
747704.5	153.6038961038961	0.0
751382.5	146.60832232496696	0.0
756514.5	155.26575342465753	344.0
763853.0	150.9179810725552	0.0
771187.0	149.32924528301888	0.0
778509.0	147.92139737991266	344.0
785813.0	149.85961342828077	0.0
793106.0	150.33755274261603	0.0
800390.5	151.3885363790186	344.0
807659.0	170.80773321654257	0.0
814905.0	154.77949552481692	0.0
822133.5	147.80070722640312	344.0
829342.0	158.1143292682927	0.0
836527.5	151.86356821589206	0.0
843683.5	154.2608695652174	344.0
850815.5	148.1631205673759	0.0
857945.0	150.9015444015444	0.0
865066.0	151.7732181425486	344.0
872168.0	152.42010431484115	0.0
879258.5	157.18426966292134	0.0
886340.5	162.25862068965517	344.0
893407.0	153.8578570463451	0.0
900464.5	150.35845588235293	0.0
907518.5	153.60731707317072	344.0
914568.0	156.32088520055325	0.0
921612.0	151.42635024549918	0.0
928641.5	151.2687385740402	344.0
934775.5	154.56617993405558	0.0
938284.0	152.91321585903083	0.0
942670.5	152.78947368421052	344.0
949675.5	150.92248394004284	0.0
956675.0	152.9811475409836	0.0
963667.5	150.15463917525773	344.0
970647.0	154.26923076923077	0.0
977605.5	146.89350976685571	0.0
984551.0	158.41842610364682	344.0
991493.5	155.1233695652174	0.0
998423.5	151.63316297558205	0.0
1005340.0	145.1153846153846	344.0
1012252.5	154.89775051124744	0.0
1019158.5	150.47022587268995	0.0
1026058.5	152.14921323928377	344.0
1032920.0	157.2156862745098	0.0
1039740.5	149.83576642335765	0.0
1046556.5	152.84279069767442	344.0
1053366.5	149.79050445103857	0.0
1060168.5	154.8484455958549	0.0
1066965.0	151.06396255850234	344.0
1073757.5	151.42624854819977	0.0
1080546.5	150.90671641791045	0.0
1087324.5	153.17277486910996	344.0
1094080.0	152.80763582966227	0.0
1100820.0	150.3828125	0.0
1107557.5	159.0	344.0
1114293.0	147.90281562216168	0.0
1121024.5	154.08180300500834	0.0
1124634.5	154.24128367670363	344.0
1127996.0	149.47118963980495	0.0
1134473.0	151.86303630363037	0.0
1141195.0	146.59139784946237	344.0
1147913.5	151.2	0.0
1154618.0	137.93333333333334	0.0
1161301.0	156.80057803468208	344.0
1167972.5	154.77361776229864	0.0
