#GC Content (%)	Sample
1.0	4.612422730388209E-7
2.0	4.612422730388209E-7
3.0	1.1531056825970522E-6
4.0	4.612422730388209E-7
5.0	1.6143479556358733E-6
6.0	9.224845460776418E-7
7.0	1.1531056825970522E-6
8.0	1.614347955635873E-6
9.0	3.6899381843105672E-6
10.0	4.381801593868799E-6
11.0	3.459317047791157E-6
12.0	6.6880129590629035E-6
13.0	1.1069814552931702E-5
14.0	1.2453541372048162E-5
15.0	2.536832501713515E-5
16.0	3.182571683967864E-5
17.0	5.650217844725556E-5
18.0	9.155659119820594E-5
19.0	1.413707566863986E-4
20.0	2.3015989424637163E-4
21.0	3.094935652090488E-4
22.0	4.840737655542425E-4
23.0	7.53439253008914E-4
24.0	0.0010617797125353657
25.0	0.0018659556155785498
26.0	0.0020732840173095
27.0	0.003037510989097155
28.0	0.004157637849171932
29.0	0.005604093617421675
30.0	0.007349203757464053
31.0	0.009401501251350287
32.0	0.011768135354312476
33.0	0.014905274674386017
34.0	0.018326077992378433
35.0	0.021994799032129215
36.0	0.026793563640825104
37.0	0.031846472741965386
38.0	0.03732533908225702
39.0	0.044015658252685115
40.0	0.050654318288532875
41.0	0.05598074405758517
42.0	0.06038952832442675
43.0	0.06498880565003334
44.0	0.06735059670912863
45.0	0.06646086036443674
46.0	0.0647542639541931
47.0	0.05800882633213687
48.0	0.05115614988159911
49.0	0.04267182889018652
50.0	0.03556500794720436
51.0	0.031421437987360114
52.0	0.02110160337038954
53.0	0.02080848390587337
54.0	0.01670411953923742
55.0	0.01308429018042875
56.0	0.009434941316145602
57.0	0.006961990869247963
58.0	0.00500355617792513
59.0	0.003589387368788104
60.0	0.00260532697925978
61.0	0.0019298376703944268
62.0	0.001418089368457855
63.0	0.0010790762977743215
64.0	8.004859648588737E-4
65.0	6.632663886298245E-4
66.0	5.664055112916721E-4
67.0	4.0404823118200714E-4
68.0	2.1655324719172642E-4
69.0	1.0793069189108409E-4
70.0	9.409342369991946E-5
71.0	8.60216839217401E-5
72.0	6.618826618107081E-5
73.0	5.1659134580347945E-5
74.0	3.505441275095039E-5
75.0	2.698267297277102E-5
76.0	1.7527206375475198E-5
77.0	1.0147330006854059E-5
78.0	8.532982051218187E-6
79.0	4.381801593868799E-6
80.0	3.228695911271746E-6
81.0	4.612422730388209E-7
82.0	0.0
83.0	2.3062113651941045E-7
84.0	4.612422730388209E-7
85.0	0.0
86.0	4.612422730388209E-7
87.0	0.0
88.0	4.612422730388209E-7
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.2684162508567576E-5
