#Duplication rate	Coverage
1.0	8736451.0
2.0	2777766.0
3.0	1214925.0
4.0	654706.0
5.0	402861.0
6.0	269687.0
7.0	194004.0
8.0	144481.0
9.0	112597.0
10.0	89914.0
11.0	73872.0
12.0	61314.0
13.0	51384.0
14.0	44544.0
15.0	38499.0
16.0	33253.0
17.0	29629.0
18.0	26185.0
19.0	23330.0
20.0	21027.0
21.0	19185.0
22.0	17081.0
23.0	15741.0
24.0	14211.0
25.0	13249.0
26.0	12094.0
27.0	11201.0
28.0	10255.0
29.0	9597.0
30.0	8978.0
31.0	8351.0
32.0	7853.0
33.0	7330.0
34.0	6888.0
35.0	6460.0
36.0	6201.0
37.0	5815.0
38.0	5462.0
39.0	5177.0
40.0	4869.0
41.0	4684.0
42.0	4358.0
43.0	4270.0
44.0	3892.0
45.0	3787.0
46.0	3746.0
47.0	3479.0
48.0	3253.0
49.0	3144.0
50.0	116296.0
