#Position (bp)	Coverage	Std
6.6572171E7	4.871459694989107	3.3307179281967616
6.657263E7	5.324618736383442	2.558679534174935
6.6573089E7	0.0	0.0
6.6573548E7	1.0740740740740742	0.9746235517050296
6.6574007E7	4.444444444444445	2.608015130207257
6.6574466E7	4.228758169934641	2.1415080305430036
6.6574925E7	3.1982570806100217	2.846088168859803
6.6575384E7	3.2483660130718954	2.0484331649757452
6.6575843E7	2.008714596949891	2.0377697236496313
6.6576302E7	3.616557734204793	2.472947312335234
6.6576761E7	3.655773420479303	3.454339571269499
6.657722E7	1.4989106753812635	1.4149836215438936
6.6577679E7	3.4618736383442266	2.6870138765895404
6.6578138E7	3.2091503267973858	2.372684056006958
6.6578597E7	2.9869281045751634	2.6034165586355518
6.6579056E7	1.6318082788671024	1.5910972358543507
6.6579515E7	0.0	0.0
6.6579974E7	2.7254901960784315	2.5183422980768966
6.6580433E7	2.8366013071895426	2.215021011816518
6.6580892E7	2.2091503267973858	1.4936320896298771
6.6581351E7	1.289760348583878	1.4559621245283143
6.658181E7	0.5751633986928104	0.9746235517050296
6.6582269E7	2.1089324618736383	1.1622230970141298
6.65827275E7	8.56113537117904	7.454520037912111
6.65831855E7	5.956331877729258	4.99410132405566
6.65836435E7	41.646288209606986	29.11545306168014
6.65841015E7	41.427947598253276	36.53086868406262
6.65845595E7	11.441048034934498	6.05848497354516
6.65850175E7	4.2336244541484715	2.2297120263666375
6.65854755E7	2.6419213973799125	2.864479040710979
6.65859335E7	3.4148471615720526	4.267783241816135
6.65863915E7	3.6572052401746724	2.7985492186591325
6.65868495E7	1.519650655021834	1.9558444495708318
6.65873075E7	5.794759825327511	4.146867076507076
6.65877655E7	6.829694323144105	4.08426525918966
6.65882235E7	3.4170305676855897	3.1404530588510893
6.65886815E7	2.2947598253275108	1.7358284583106771
6.65891395E7	3.067685589519651	1.9989079988265908
6.65895975E7	3.1615720524017465	1.911811139747108
6.65900555E7	3.2663755458515285	2.378028980912793
6.65905135E7	1.8078602620087336	2.0130578100802
6.65909715E7	4.729257641921397	3.300125708866731
6.65914295E7	2.427947598253275	2.234114226163437
6.65918875E7	1.6004366812227073	1.5976237813468135
6.65923455E7	2.589519650655022	3.186351899578513
6.65928035E7	0.0	0.0
6.65932615E7	2.410480349344978	2.790345175936727
6.65937195E7	1.0895196506550218	0.9263253222384064
6.65941775E7	3.7423580786026203	2.994171922616236
6.65946355E7	1.665938864628821	1.5490523938128409
6.65950935E7	3.1441048034934496	2.3761919555471493
6.65955515E7	2.949781659388646	3.082207001484488
6.65960095E7	0.9585152838427947	1.5177264080794204
6.6596467E7	10.630196936542669	13.905117676344842
6.6596924E7	29.426695842450766	18.55354779192907
6.6597381E7	35.23194748358862	18.40238306326119
6.6597838E7	41.55798687089715	18.847249623771205
6.6598295E7	24.089715536105032	18.112280491290598
6.6598752E7	23.035010940919037	15.18766630781246
6.6599209E7	8.083150984682714	5.788580019601183
6.6599666E7	16.960612691466082	11.610754842332721
6.6600123E7	6.0459518599562365	4.410798366729938
6.660058E7	5.4945295404814	5.584050434587559
6.6601037E7	1.3654266958424508	1.3056014652242176
6.6601494E7	4.185995623632385	3.524220664349559
6.6601951E7	0.7571115973741794	1.5358587644767767
6.6602408E7	5.096280087527353	3.4637857636107574
6.6602865E7	6.2210065645514225	3.1250382929820137
6.6603322E7	5.652078774617068	3.6191806077252893
6.6603779E7	1.424507658643326	1.7149107956972935
6.6604236E7	2.326039387308534	2.421186572763712
6.6604693E7	1.9934354485776806	2.193086411601863
6.660515E7	1.6892778993435449	2.0841172850317355
6.6605607E7	3.0590809628008753	2.2385131045042375
6.6606064E7	0.0	0.0
6.6606521E7	3.2932166301969366	2.1980695727904367
6.6606978E7	1.1291028446389497	1.0312406753109358
6.6607435E7	0.0	0.0
6.6607892E7	2.2341356673960613	1.924732497256599
6.6608349E7	2.9452954048140043	2.568961339381835
6.6608806E7	3.1422319474835887	1.4858928163588325
6.6609263E7	1.0240700218818382	0.6081143506424843
6.660972E7	1.1050328227571116	0.98789168339356
6.6610177E7	2.7789934354485775	2.242419762108941
6.6610634E7	4.024070021881838	1.7269900201044828
6.6611091E7	0.5579868708971554	0.9778733680038554
6.6611548E7	3.1728665207877462	2.2584632950619836
6.6612005E7	3.0	1.6982421082418402
6.6612462E7	2.1553610503282274	1.7458923345280133
6.6612919E7	2.4157549234135667	1.7627311214602617
6.6613376E7	2.280087527352298	1.5280026578963446
6.6613833E7	2.4310722100656457	1.8529059322785615
6.661429E7	1.2166301969365427	1.285332165090825
6.6614747E7	1.363238512035011	1.4523805253348694
6.6615204E7	1.9693654266958425	2.0114551598174484
6.6615661E7	0.8949671772428884	1.574551445278725
6.6616118E7	3.7439824945295404	3.051706126818881
6.6616575E7	1.0459518599562363	1.213526968141624
6.6617032E7	1.1466083150984683	0.8561784717524387
6.6617489E7	1.3698030634573304	1.2490696756805022
6.66179455E7	15.831140350877194	12.72783591257932
6.66184015E7	5.484649122807017	3.777530521664287
6.66188575E7	3.067982456140351	2.7573665290342877
6.66193135E7	9.416666666666666	8.095103566625072
6.66197695E7	4.418859649122807	3.596721216437539
6.66202255E7	0.0	0.0
6.66206815E7	0.0	0.0
6.66211375E7	2.192982456140351	2.179449471770337
6.66215935E7	4.725877192982456	3.347884904433444
6.66220495E7	0.0	0.0
6.66225055E7	2.736842105263158	2.2845783518220673
6.66229615E7	1.212719298245614	1.9165713172316565
6.66234175E7	2.754385964912281	2.4238399287081647
6.66238735E7	5.032894736842105	2.418405303195954
6.66243295E7	4.883771929824562	4.126295649789734
6.66247855E7	1.6864035087719298	1.8596594670351163
6.66252415E7	1.4736842105263157	1.3923349062736559
6.66256975E7	2.3552631578947367	1.8519785531705026
6.66261535E7	2.412280701754386	1.943274501832843
6.66266095E7	0.8771929824561403	1.2583057392117916
6.66270655E7	0.6557017543859649	0.9116689919467443
6.66275215E7	1.9035087719298245	2.242922592152026
6.66279775E7	2.026315789473684	1.213953957333768
6.66284335E7	2.557017543859649	2.239987468636627
6.66288895E7	2.366228070175439	2.1597392630154517
6.66293455E7	0.17982456140350878	0.4162278390918701
6.66298015E7	3.138157894736842	1.7515657156214126
6.66302575E7	1.1907894736842106	1.573492037788071
6.66307135E7	0.0	0.0
6.66311695E7	1.3267543859649122	1.9137086250927506
