#Read position (bp)	Clipping profile
0.0	3.708340854112171
1.0	3.518291966662178
2.0	3.3172603545605526
3.0	3.1173747659008364
4.0	2.986059579848706
5.0	2.7720397020721057
6.0	2.633466367554548
7.0	2.5067352752700556
8.0	2.4009191108004115
9.0	2.283260704097702
10.0	2.170377395069616
11.0	2.0825155978565544
12.0	1.9169152105006309
13.0	1.8444292277998546
14.0	1.766213127889531
15.0	1.6950641725376494
16.0	1.6124549827666725
17.0	1.5435025723451175
18.0	1.4785612439702454
19.0	1.4231701109446195
20.0	1.3458135286157278
21.0	1.291090909264549
22.0	1.2152623581915367
23.0	1.1330351762345299
24.0	1.0624592326036029
25.0	0.997517904228731
26.0	0.9437503044124768
27.0	0.8620006322229321
28.0	0.8093790558485874
29.0	0.7263878582636407
30.0	0.6765358385405773
31.0	0.6341329711899257
32.0	0.5685231291406065
33.0	0.5251652422550304
34.0	0.44293806029802335
35.0	0.3810527944349102
36.0	0.3130554035482796
37.0	0.2570912588016988
38.0	0.22719914735855923
39.0	0.21230084261373566
40.0	0.19195892651984195
41.0	0.17868415498439022
42.0	0.169897975263084
43.0	0.17620110419358628
44.0	0.1710439987049935
45.0	0.15060658065760735
46.0	0.14468545954107492
47.0	0.1620668150767024
48.0	0.14879204354125064
49.0	0.16932496354212925
50.0	0.19511049098509312
51.0	0.23388428410303133
52.0	0.25651824708074406
53.0	0.2850733311749892
54.0	0.3064657687572999
55.0	0.32728519461865596
56.0	0.3523067064336801
57.0	0.3758956889463174
58.0	0.4032092476451606
59.0	0.4377809548094306
60.0	0.4759817362064141
61.0	0.5072108749984481
62.0	0.5574449025354813
63.0	0.6083474437469619
64.0	0.6542838833768345
65.0	0.6999338171462297
66.0	0.7373705829152736
67.0	0.7972503077550451
68.0	0.8386981555707723
69.0	0.8902692104566999
70.0	0.9448008259008939
71.0	1.0002874608800123
72.0	1.0650377853478994
73.0	1.1331306781880224
74.0	1.191577873725407
75.0	1.252985629821058
76.0	1.3097137901955784
77.0	1.3628128763373855
78.0	1.4311922750379857
79.0	1.4959425995058728
80.0	1.5594513985783578
81.0	1.6481727133728519
82.0	1.724765280073804
83.0	1.8286714054735989
84.0	1.92426886091955
85.0	1.9986648826901754
86.0	2.061314164181228
87.0	2.0619826778556756
