#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	3.155806589450391E-7
4.0	9.467419768351173E-7
5.0	3.155806589450391E-7
6.0	6.311613178900782E-7
7.0	9.467419768351173E-7
8.0	2.840225930505352E-6
9.0	4.418129225230547E-6
10.0	2.5246452715603127E-6
11.0	2.2090646126152734E-6
12.0	8.205097132571016E-6
13.0	8.205097132571018E-6
14.0	1.5463452288306916E-5
15.0	2.713993666927337E-5
16.0	3.723851775551461E-5
17.0	6.721868035529334E-5
18.0	8.268213264360024E-5
19.0	1.2938807016746602E-4
20.0	1.975534924995945E-4
21.0	2.7487075394112907E-4
22.0	4.531738262450762E-4
23.0	7.163680958052388E-4
24.0	0.0010426784971544092
25.0	0.0018625570490936206
26.0	0.0019856335060821862
27.0	0.003235017334845596
28.0	0.004473671421204874
29.0	0.006258595628198015
30.0	0.007990186703829444
31.0	0.010279408803816758
32.0	0.012967209276051658
33.0	0.015903056146217356
34.0	0.01964899856789497
35.0	0.023249142725139976
36.0	0.028270662170273436
37.0	0.033708116923896456
38.0	0.04092765565858212
39.0	0.04704992044211588
40.0	0.053762952219194755
41.0	0.058154257088414964
42.0	0.0610089997292318
43.0	0.06341183086643933
44.0	0.06724361122735
45.0	0.06591754129846293
46.0	0.06278287861316185
47.0	0.0573002958253097
48.0	0.05036667316762824
49.0	0.04093996330428098
50.0	0.03243822035230163
51.0	0.029433892479144855
52.0	0.018484821517046716
53.0	0.018503756356583422
54.0	0.015186056889094227
55.0	0.012446501188792342
56.0	0.009312154084150214
57.0	0.005986880680846338
58.0	0.004212370635598381
59.0	0.003172532364374478
60.0	0.002372219813289859
61.0	0.0018486715001000392
62.0	0.0013393243165627459
63.0	9.741974941633355E-4
64.0	6.867035138644051E-4
65.0	5.683607667600154E-4
66.0	4.2824295418841807E-4
67.0	2.3132062300671366E-4
68.0	1.2149855369384004E-4
69.0	7.10056482626338E-5
70.0	9.404303636562162E-5
71.0	6.122264783533758E-5
72.0	5.270197004382154E-5
73.0	5.869800256377728E-5
74.0	4.607477620597571E-5
75.0	2.777109798716344E-5
76.0	2.3352968761932893E-5
77.0	1.6410194265142032E-5
78.0	6.62719383784582E-6
79.0	2.5246452715603127E-6
80.0	2.5246452715603127E-6
81.0	3.155806589450391E-7
82.0	6.311613178900782E-7
83.0	0.0
84.0	1.2623226357801563E-6
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	6.311613178900782E-7
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.2307645698856526E-5
