#Position (bp)	mapping quality
7920.0	43.04386461929782
23233.0	43.217150228507805
37327.5	42.908714311116235
50665.5	3.33333214883884
63701.5	31.651493926905637
76465.5	15.869546152159614
89016.5	43.27073247059257
101377.5	42.02791085965873
113514.5	3.0782290404387425
125434.0	23.92298258523424
137300.5	43.315204778673554
148889.0	43.19696425679909
159968.0	41.928257686676424
170703.0	2.9555591810098703
181289.5	3.1407126732613206
187010.5	43.230851729377065
192238.5	42.88701323997263
202103.5	3.0181039814301664
212263.5	13.725623209404946
222346.5	41.347080701929556
232301.5	11.178073293032545
242145.0	36.654307038884994
251881.0	43.16202942682368
261464.5	4.664493879098436
270978.0	18.53967168262654
280379.0	24.25492766452014
289584.0	43.42510626016687
298647.5	6.636186264308012
307521.5	43.27595969503768
316214.0	43.12335156924849
324845.0	41.51164090264086
333443.0	18.54808551822404
342014.5	3.3729263239480707
350518.5	4.588165976289101
358972.0	42.752362948960304
367379.5	13.096839856137867
373262.0	43.263756999309656
377439.0	43.19185605162025
384083.0	5.979031950615112
392367.5	3.658932131080351
400577.5	42.74402736568945
408756.0	42.877701645871106
416913.0	30.71858134155744
425047.5	2.9702592131067744
433166.0	28.93483709273183
441240.0	30.824279847970736
449272.5	3.331812196140978
457292.5	3.3721039427661514
465308.0	3.1258925650056777
473322.5	31.597887997710956
481331.0	42.21738784658208
489307.0	25.921947726459006
497252.0	3.1207283041849103
505179.0	43.14974838180602
513089.5	43.292640692640695
520987.0	43.22755347506664
528834.0	2.8687579524322206
536627.0	3.5262879868848476
544401.0	3.2085867814948164
552166.5	3.22574641190942
559244.0	19.122992588522347
563117.0	2.9513310918811664
567661.5	3.3846591735662646
575393.0	36.15320167564333
583117.5	42.919013013457906
590837.0	3.429086873539062
598549.5	34.80843785632839
606234.5	3.45042944423128
613887.0	3.125952591149401
621529.0	41.752586121560086
629169.0	30.36967418546366
636796.0	3.0337088013244857
644410.5	3.6082329379240443
652022.0	10.622942226409837
659628.5	3.704525502513002
667200.0	32.53900172860847
674731.0	3.3534598279310948
682245.0	35.14552886814541
689747.5	30.2189880304679
697241.5	43.3061834741578
704724.5	3.054147574993644
712177.5	6.8726436781609195
719596.5	28.171420375981878
727003.0	3.6164500499365673
734401.5	7.760818991814104
741793.5	5.703033938417297
747704.5	4.837200529103056
751382.5	3.935947231199018
756514.5	42.995493849713796
763853.0	18.298618818596623
771187.0	27.571731844444272
778509.0	11.645386550172095
785813.0	43.31270104913483
793106.0	24.373340197401124
800390.5	43.14019648456313
807659.0	36.6670339424455
814905.0	37.58193139611099
822133.5	11.547376322794015
829342.0	3.796270504996091
836527.5	40.22773127280532
843683.5	42.47230566595804
850815.5	9.315277412569024
857945.0	12.929630435458304
865066.0	3.055405582635686
872168.0	29.248539016844276
879258.5	42.900784239045755
886340.5	3.1920058404818397
893407.0	7.825832220507449
900464.5	42.538699690402474
907518.5	42.55836704670835
914568.0	16.22459274677305
921612.0	42.96641034426589
928641.5	3.7031189510360036
934775.5	3.098403902619636
938284.0	3.049885688371071
942670.5	3.0939832996019248
949675.5	42.80400847947581
956675.0	12.427859644212328
963667.5	29.367196240769747
970647.0	26.180864587348584
977605.5	3.0408098093362765
984551.0	18.45935307205203
991493.5	2.899636929460581
998423.5	38.7216814478333
1005340.0	39.457996692970546
1012252.5	17.00761459267803
1019158.5	4.646323199041485
1026058.5	43.3326062609323
1032920.0	2.8188059876090508
1039740.5	29.507111201228167
1046556.5	43.02561600186844
1053366.5	20.934861717612808
1060168.5	4.388744928799628
1066965.0	42.86654544437295
1073757.5	42.42592366486777
1080546.5	36.48264086511099
1087324.5	6.003836678647874
1094080.0	42.856866724343654
1100820.0	5.655705319193026
1107557.5	2.893523637786435
1114293.0	3.276032274062972
1121024.5	3.1373429777072004
1124634.5	2.9928982308014564
1127996.0	2.986514811248209
1134473.0	25.491069882069986
1141195.0	42.203087167070215
1147913.5	41.2891698735569
1154618.0	38.93411305459047
1161301.0	38.726872409709884
1167972.5	9.162583315975839
1174635.0	9.686596683401795
1181290.0	4.224554600874829
1187945.0	5.686388757303016
1194597.5	2.9861270426296094
1201244.5	3.0
1207883.0	22.988971617309524
1214513.5	6.695112022821244
1221140.5	36.52697548659731
1227757.5	42.87642350098172
1234365.0	42.98022139295076
1240970.5	8.912449392712551
1247570.5	19.515212981744423
1254162.5	3.2231250921865993
1260746.5	2.8394208161650023
1267323.0	31.327000859497446
1273891.0	2.7996641679681726
1280445.0	3.9502997805874513
1286962.5	3.004257777397407
1293446.5	4.357419511014283
1299924.5	39.60571127032129
1306401.0	3.216395524263221
1310999.5	10.821137872020703
1314236.5	2.953990798159632
1319346.5	42.06864342020592
1325814.0	20.374860483656658
1332281.0	2.8912597534892024
1338743.0	34.479286469270775
1345199.5	13.48336421005705
1351651.0	5.915266979719207
1358098.0	42.96122464369203
1364542.0	4.113138606142392
1370980.5	2.9179147906520875
1377416.0	43.108867775138556
1383849.5	12.17642313178633
1390277.0	5.307416364913798
1396691.5	3.726253995366221
1403096.0	3.2851947167066426
1409495.0	3.260154738878143
1415884.0	3.4469104339113352
1422266.5	3.571398124014442
1428647.5	12.385174239625663
1435017.5	2.8236866271021506
1441376.0	5.763224323051069
1447732.5	4.436304151337314
1454085.5	43.05888317599925
1460426.5	3.808303759729645
1466754.5	28.9358841778697
1473074.0	3.573121551274386
1479389.0	42.7425747399027
1485690.5	42.56679746936814
1491978.5	31.573398657230992
1497481.5	3.5076163368370725
