#Insert size (bp)	insert size
136.0	223499.0
137.0	221450.0
138.0	219515.0
139.0	217617.0
140.0	216846.0
141.0	213864.0
142.0	210069.0
143.0	210675.0
144.0	204137.0
145.0	201174.0
146.0	195392.0
147.0	194228.0
148.0	190357.0
149.0	188798.0
150.0	187583.0
151.0	185213.0
152.0	182765.0
153.0	179423.0
154.0	178348.0
155.0	173328.0
156.0	170974.0
157.0	167024.0
158.0	164019.0
159.0	163601.0
160.0	160844.0
161.0	158763.0
162.0	156377.0
163.0	152999.0
164.0	151714.0
165.0	146434.0
166.0	145769.0
167.0	143483.0
168.0	139974.0
169.0	136689.0
170.0	134702.0
171.0	134026.0
172.0	131439.0
173.0	129030.0
174.0	128744.0
175.0	124493.0
176.0	122732.0
177.0	119700.0
178.0	118625.0
179.0	115554.0
180.0	114632.0
181.0	113364.0
182.0	110928.0
183.0	109298.0
184.0	107538.0
185.0	104882.0
186.0	103290.0
187.0	100978.0
188.0	98453.0
189.0	97700.0
190.0	95549.0
191.0	93048.0
192.0	92215.0
193.0	91059.0
194.0	90035.0
195.0	88361.0
196.0	86835.0
197.0	87117.0
198.0	83366.0
199.0	81828.0
200.0	79458.0
201.0	79441.0
202.0	77127.0
203.0	75816.0
204.0	74924.0
205.0	72997.0
206.0	71372.0
207.0	71146.0
208.0	69979.0
209.0	68939.0
210.0	66845.0
211.0	65449.0
212.0	64650.0
213.0	63861.0
214.0	62050.0
215.0	61154.0
216.0	59891.0
217.0	59193.0
218.0	58112.0
219.0	57517.0
220.0	55917.0
221.0	55367.0
222.0	53492.0
223.0	53457.0
224.0	51991.0
225.0	50807.0
226.0	50370.0
227.0	49216.0
228.0	48669.0
229.0	47876.0
230.0	46385.0
231.0	45627.0
232.0	44189.0
233.0	43891.0
234.0	42806.0
235.0	42418.0
236.0	41458.0
237.0	40774.0
238.0	40222.0
239.0	39422.0
240.0	38859.0
241.0	38228.0
242.0	37275.0
243.0	36545.0
244.0	35645.0
245.0	35445.0
246.0	34553.0
247.0	34045.0
248.0	33219.0
249.0	33287.0
250.0	32340.0
251.0	31253.0
252.0	30854.0
253.0	30180.0
254.0	29598.0
255.0	29147.0
256.0	28584.0
257.0	28309.0
258.0	27507.0
259.0	27357.0
260.0	27415.0
261.0	26179.0
262.0	26073.0
263.0	25437.0
264.0	24592.0
265.0	24309.0
266.0	23976.0
267.0	23541.0
268.0	22887.0
269.0	22325.0
270.0	22072.0
271.0	21681.0
272.0	21616.0
273.0	20749.0
274.0	20461.0
275.0	19668.0
276.0	19579.0
277.0	19253.0
278.0	18777.0
279.0	18754.0
280.0	17903.0
281.0	17807.0
282.0	17543.0
283.0	17096.0
284.0	16903.0
285.0	16606.0
286.0	16154.0
287.0	15883.0
288.0	15671.0
289.0	15551.0
290.0	15022.0
291.0	14960.0
292.0	14631.0
293.0	14094.0
294.0	14121.0
295.0	13536.0
296.0	13380.0
297.0	13253.0
298.0	13017.0
299.0	12738.0
300.0	12424.0
301.0	12526.0
302.0	12068.0
303.0	11788.0
304.0	11458.0
305.0	11427.0
306.0	11224.0
307.0	10885.0
308.0	10520.0
309.0	10819.0
310.0	10458.0
311.0	10091.0
312.0	9978.0
313.0	9751.0
314.0	9708.0
315.0	9754.0
316.0	9263.0
317.0	9110.0
318.0	8956.0
319.0	8785.0
320.0	8416.0
321.0	8518.0
322.0	8285.0
323.0	8174.0
324.0	8029.0
325.0	7816.0
326.0	7629.0
327.0	7431.0
328.0	7415.0
329.0	7390.0
330.0	7225.0
331.0	7095.0
332.0	6870.0
333.0	6682.0
334.0	6669.0
335.0	6460.0
336.0	6396.0
337.0	6334.0
338.0	6142.0
339.0	6240.0
340.0	5978.0
341.0	5883.0
342.0	5757.0
343.0	5815.0
344.0	5575.0
345.0	5440.0
346.0	5394.0
347.0	5097.0
348.0	5240.0
349.0	5032.0
350.0	5034.0
