#Insert size (bp)	insert size
17.0	1.0
19.0	2.0
21.0	14.0
22.0	68.0
23.0	200.0
24.0	355.0
25.0	510.0
26.0	768.0
27.0	1069.0
28.0	1382.0
29.0	1725.0
30.0	1995.0
31.0	2415.0
32.0	2961.0
33.0	3414.0
34.0	3922.0
35.0	4582.0
36.0	4981.0
37.0	5628.0
38.0	6377.0
39.0	6771.0
40.0	8352.0
41.0	9064.0
42.0	10003.0
43.0	10590.0
44.0	11495.0
45.0	12317.0
46.0	13150.0
47.0	14111.0
48.0	15184.0
49.0	15888.0
50.0	16833.0
51.0	18020.0
52.0	20042.0
53.0	19528.0
54.0	20679.0
55.0	21919.0
56.0	24401.0
57.0	26780.0
58.0	25321.0
59.0	27023.0
60.0	28613.0
61.0	29693.0
62.0	36655.0
63.0	33658.0
64.0	35359.0
65.0	38767.0
66.0	42221.0
67.0	43936.0
68.0	45207.0
69.0	53667.0
70.0	49628.0
71.0	51861.0
72.0	54623.0
73.0	61907.0
74.0	61451.0
75.0	66377.0
76.0	70911.0
77.0	85313.0
78.0	81802.0
79.0	86518.0
80.0	90846.0
81.0	97634.0
82.0	105129.0
83.0	111264.0
84.0	114249.0
85.0	124388.0
86.0	139939.0
87.0	181279.0
88.0	656926.0
89.0	160451.0
90.0	162758.0
91.0	167078.0
92.0	170592.0
93.0	176932.0
94.0	183476.0
95.0	188043.0
96.0	195622.0
97.0	202347.0
98.0	210726.0
99.0	214752.0
100.0	221329.0
101.0	225109.0
102.0	226434.0
103.0	231999.0
104.0	231672.0
105.0	236472.0
106.0	239934.0
107.0	243791.0
108.0	249950.0
109.0	251209.0
110.0	253646.0
111.0	255952.0
112.0	255114.0
113.0	255891.0
114.0	254862.0
115.0	253499.0
116.0	254431.0
117.0	257537.0
118.0	257508.0
119.0	256808.0
120.0	260285.0
121.0	255699.0
122.0	256862.0
123.0	253535.0
124.0	251488.0
125.0	250374.0
126.0	247529.0
127.0	243714.0
128.0	244638.0
129.0	242666.0
130.0	240675.0
131.0	239417.0
132.0	239828.0
133.0	235069.0
134.0	229850.0
135.0	227481.0
