#Read position (bp)	Clipping profile
0.0	4.141315915358296
1.0	3.932182038876146
2.0	3.698847217865703
3.0	3.423522186608769
4.0	3.285042496229996
5.0	3.0488789933915705
6.0	2.908702093916008
7.0	2.753501750954052
8.0	2.6179764615956156
9.0	2.4417181539142354
10.0	2.2934952261279684
11.0	2.1818565833169377
12.0	1.9754256694704142
13.0	1.8724616509318621
14.0	1.7825095688020283
15.0	1.695637606884886
16.0	1.604365473235327
17.0	1.5398715275573327
18.0	1.4697202182233742
19.0	1.410820776605167
20.0	1.3425552551565298
21.0	1.2947191024655418
22.0	1.218596131494732
23.0	1.1630911080701034
24.0	1.1024315977589298
25.0	1.0567955309341504
26.0	1.0091479570316946
27.0	0.911401284975865
28.0	0.8560219807435913
29.0	0.7799618693689588
30.0	0.7386631146804187
31.0	0.7066047206299537
32.0	0.6379620416042523
33.0	0.5920745363947633
34.0	0.513248602788326
35.0	0.45962936724901887
36.0	0.39092382862714015
37.0	0.33969325774257364
38.0	0.308514898038592
39.0	0.297325889919018
40.0	0.28557114543384754
41.0	0.27645650398812704
42.0	0.26206165646350654
43.0	0.2605530261552494
44.0	0.2559014160381231
45.0	0.23471773212634528
46.0	0.22849463210478446
47.0	0.24219802407145374
48.0	0.23339768060662022
49.0	0.2462838978229836
50.0	0.25885581705846006
51.0	0.2962572767840025
52.0	0.31348080613660523
53.0	0.3284413900268222
54.0	0.3482421628226976
55.0	0.3694887063306528
56.0	0.38514074577882096
57.0	0.3966440518792819
58.0	0.414747615578368
59.0	0.43806852576017685
60.0	0.4739613551774621
61.0	0.4932592512039184
62.0	0.5350608826618776
63.0	0.5680621706550033
64.0	0.5908173444712156
65.0	0.6245729476184699
66.0	0.65386551943713
67.0	0.7020788297051822
68.0	0.7243939863481529
69.0	0.7506692975502988
70.0	0.7859335310058101
71.0	0.8277980220599467
72.0	0.8815429767916084
73.0	0.9289391123093547
74.0	0.974889477115021
75.0	1.0327203055982126
76.0	1.0655330148028064
77.0	1.0914311684278877
78.0	1.1459932979098557
79.0	1.1992353758720982
80.0	1.2553689952585008
81.0	1.3092396691825172
82.0	1.3617274319906314
83.0	1.4651314677024252
84.0	1.563443876123851
85.0	1.6660307370853389
86.0	1.737942115112264
87.0	1.7181413423163885
