#Mapping quality	mapping quality
1.0	46117.0
2.0	5210986.0
3.0	9924676.0
4.0	490985.0
5.0	321430.0
6.0	239623.0
7.0	197954.0
8.0	174263.0
9.0	154889.0
10.0	132342.0
11.0	132561.0
12.0	128797.0
13.0	137133.0
14.0	112105.0
15.0	122671.0
16.0	167435.0
17.0	100544.0
18.0	109877.0
19.0	122768.0
20.0	121981.0
21.0	135060.0
22.0	170611.0
23.0	287250.0
24.0	132497.0
25.0	152796.0
26.0	170121.0
27.0	196307.0
28.0	214912.0
29.0	247443.0
30.0	302258.0
31.0	290810.0
32.0	327916.0
33.0	428120.0
34.0	446445.0
35.0	600713.0
36.0	671586.0
37.0	933144.0
38.0	1122012.0
39.0	1736801.0
40.0	2348634.0
41.0	4062204.0
42.0	6153689.0
43.0	1.2351195E7
44.0	5174451.0
