#Duplication rate	Coverage
1.0	6956066.0
2.0	2317718.0
3.0	1052158.0
4.0	582403.0
5.0	363377.0
6.0	244943.0
7.0	175731.0
8.0	132229.0
9.0	102159.0
10.0	81118.0
11.0	66325.0
12.0	55191.0
13.0	46125.0
14.0	39718.0
15.0	34216.0
16.0	29652.0
17.0	26100.0
18.0	23120.0
19.0	20594.0
20.0	18492.0
21.0	16520.0
22.0	15136.0
23.0	13789.0
24.0	12424.0
25.0	11411.0
26.0	10648.0
27.0	9737.0
28.0	9217.0
29.0	8479.0
30.0	7830.0
31.0	7278.0
32.0	6884.0
33.0	6372.0
34.0	6083.0
35.0	5596.0
36.0	5391.0
37.0	5147.0
38.0	4867.0
39.0	4713.0
40.0	4268.0
41.0	4073.0
42.0	3882.0
43.0	3668.0
44.0	3600.0
45.0	3463.0
46.0	3184.0
47.0	3156.0
48.0	3043.0
49.0	2834.0
50.0	126163.0
