#Position (bp)	insert size	chromosomes
7920.0	151.0311710193766	0.0
23233.0	153.10514624213255	6462.333333333333
37327.5	152.1753164556962	0.0
50665.5	153.5909709338281	0.0
63701.5	136.92475788610025	6462.333333333333
76465.5	6462.333333333333	0.0
89016.5	151.57247132429615	0.0
101377.5	150.61018062397372	6462.333333333333
113514.5	150.76369426751592	0.0
125434.0	179.44444444444446	0.0
137300.5	150.5131964809384	6462.333333333333
148889.0	151.08497246262786	0.0
159968.0	149.63937138130686	0.0
170703.0	163.83660806618408	6462.333333333333
181289.5	147.98893499308437	0.0
187010.5	145.86666666666667	0.0
192238.5	152.1008303677343	6462.333333333333
202103.5	145.60122095313116	0.0
212263.5	169.24647887323943	0.0
222346.5	148.23293768545994	6462.333333333333
232301.5	151.73035522066738	0.0
242145.0	155.63033873343153	0.0
251881.0	149.79864253393666	6462.333333333333
261464.5	150.40648379052368	0.0
270978.0	111.375	0.0
280379.0	159.0	6462.333333333333
289584.0	148.73783783783784	0.0
298647.5	159.7443181818182	0.0
307521.5	145.34260429835652	6462.333333333333
316214.0	147.19840364880272	0.0
324845.0	146.58647990255787	0.0
333443.0	145.82228696285506	6462.333333333333
342014.5	162.66666666666666	0.0
350518.5	155.96782496782498	0.0
358972.0	121.0	6462.333333333333
367379.5	148.45379809273265	0.0
373262.0	148.4	0.0
377439.0	153.41143260409316	6462.333333333333
384083.0	152.15447154471545	0.0
392367.5	152.41151174330136	0.0
400577.5	149.38916750250752	6462.333333333333
408756.0	148.84150436534588	0.0
416913.0	197.25925925925927	0.0
425047.5	125.43723194621538	6462.333333333333
433166.0	0.0	0.0
441240.0	198.66093474426808	0.0
449272.5	149.0982167542162	6462.333333333333
457292.5	148.78247330960855	0.0
465308.0	144.31314878892732	0.0
473322.5	157.8336192109777	6462.333333333333
481331.0	150.16608996539793	0.0
489307.0	176.13888888888889	0.0
497252.0	147.3144889554474	6462.333333333333
505179.0	150.4352207293666	0.0
513089.5	150.29502572898798	0.0
520987.0	147.7432490355765	6462.333333333333
528834.0	190.74666666666667	0.0
536627.0	146.9154607768469	0.0
544401.0	160.3604525862069	6462.333333333333
552166.5	153.32602739726028	0.0
559244.0	147.7528662420382	0.0
563117.0	143.24311926605503	6462.333333333333
567661.5	151.74707846410683	0.0
575393.0	136.5	0.0
583117.5	148.51404662283323	6462.333333333333
590837.0	147.9515570934256	0.0
598549.5	174.375	0.0
606234.5	149.83636363636364	6462.333333333333
613887.0	209.60165975103735	0.0
621529.0	150.77288732394365	0.0
629169.0	429.7142857142857	6462.333333333333
636796.0	149.34792806880375	0.0
644410.5	147.31580202742992	0.0
652022.0	149.58395696913	6462.333333333333
659628.5	149.35752799668188	0.0
667200.0	173.69565217391303	0.0
674731.0	149.34151785714286	6462.333333333333
682245.0	149.63883955002962	0.0
689747.5	161.77868852459017	0.0
697241.5	153.09270516717325	6462.333333333333
704724.5	145.61465243726565	0.0
712177.5	122.88888888888889	0.0
719596.5	149.3047120418848	6462.333333333333
727003.0	145.81501210653752	0.0
734401.5	149.1437969924812	0.0
741793.5	143.8078331194745	6462.333333333333
747704.5	145.9846564376251	0.0
751382.5	143.148401323043	0.0
756514.5	152.7238219895288	6462.333333333333
763853.0	210.96226415094338	0.0
771187.0	147.32115249472943	0.0
778509.0	146.07925568573398	6462.333333333333
785813.0	147.43219512195122	0.0
793106.0	147.93525179856115	0.0
800390.5	149.37765634486945	6462.333333333333
807659.0	170.45958653114846	0.0
814905.0	167.23456790123456	0.0
822133.5	142.9307124055362	6462.333333333333
829342.0	209.0173068805403	0.0
836527.5	157.27173913043478	0.0
843683.5	150.28737113402062	6462.333333333333
850815.5	482.85	0.0
857945.0	149.7548596112311	0.0
865066.0	153.4555023923445	6462.333333333333
872168.0	157.31390134529147	0.0
879258.5	154.10583153347733	0.0
886340.5	146.6844262295082	6462.333333333333
893407.0	151.06395518044238	0.0
900464.5	125.33333333333333	0.0
907518.5	152.30023640661938	6462.333333333333
914568.0	151.1255195344971	0.0
921612.0	148.39783281733747	0.0
928641.5	152.1831637372803	6462.333333333333
934775.5	146.1648590021692	0.0
938284.0	149.6422903710058	0.0
942670.5	146.70011567379987	6462.333333333333
949675.5	148.60955518945633	0.0
956675.0	148.15849056603773	0.0
963667.5	189.4	6462.333333333333
970647.0	206.4156626506024	0.0
977605.5	147.21858748532125	0.0
984551.0	183.60714285714286	6462.333333333333
991493.5	197.45882352941177	0.0
998423.5	207.87596899224806	0.0
1005340.0	135.1081081081081	6462.333333333333
1012252.5	160.3611491108071	0.0
1019158.5	1204.1666666666667	0.0
1026058.5	149.85706833594156	6462.333333333333
1032920.0	162.38232373386296	0.0
1039740.5	188.71912832929783	0.0
1046556.5	149.45654082528534	6462.333333333333
1053366.5	180.3217391304348	0.0
1060168.5	148.29386503067485	0.0
1066965.0	148.68993993993993	6462.333333333333
1073757.5	148.26890130353817	0.0
1080546.5	162.44	0.0
1087324.5	148.28644501278774	6462.333333333333
1094080.0	149.9567375886525	0.0
1100820.0	173.2804995196926	0.0
1107557.5	164.70056497175142	6462.333333333333
1114293.0	144.71029863243092	0.0
1121024.5	151.59344422700588	0.0
1124634.5	150.44189112827274	6462.333333333333
1127996.0	144.057205410561	0.0
1134473.0	150.5520504731861	0.0
1141195.0	127.66666666666667	6462.333333333333
1147913.5	273.0	0.0
1154618.0	141.0731707317073	0.0
1161301.0	169.67914438502675	6462.333333333333
1167972.5	174.36304909560724	0.0
1174635.0	160.9776536312849	0.0
1181290.0	143.31535695942475	6462.333333333333
1187945.0	152.62325581395348	0.0
1194597.5	147.67868338557994	0.0
1201244.5	184.8	6462.333333333333
1207883.0	151.29276315789474	0.0
1214513.5	147.5802792321117	0.0
1221140.5	151.57142857142858	6462.333333333333
1227757.5	149.71909167367536	0.0
1234365.0	150.7017441860465	0.0
1240970.5	117.80088495575221	6462.333333333333
1247570.5	167.13636363636363	0.0
1254162.5	146.39870626286387	0.0
1260746.5	153.89893617021278	6462.333333333333
1267323.0	175.4339274738783	0.0
1273891.0	124.07856532877882	0.0
1280445.0	151.60125329815304	6462.333333333333
1286962.5	144.91878590809725	0.0
1293446.5	154.7058823529412	0.0
1299924.5	151.65486725663717	6462.333333333333
1306401.0	145.11492608488317	0.0
1310999.5	151.94911504424778	0.0
1314236.5	150.71639042357273	6462.333333333333
1319346.5	145.49727520435968	0.0
1325814.0	248.5897435897436	0.0
1332281.0	151.85432541461228	6462.333333333333
1338743.0	171.77941900541606	0.0
1345199.5	150.10719714493425	0.0
1351651.0	152.20192307692307	6462.333333333333
1358098.0	150.48442906574394	0.0
1364542.0	176.07758094074526	0.0
1370980.5	167.03225806451613	6462.333333333333
1377416.0	147.3516699410609	0.0
1383849.5	148.6719528772089	0.0
1390277.0	145.62308998302208	6462.333333333333
1396691.5	148.39840881272949	0.0
1403096.0	148.47207586933615	0.0
1409495.0	153.92	6462.333333333333
1415884.0	148.66771074492715	0.0
1422266.5	147.7624196104017	0.0
1428647.5	145.88333333333333	6462.333333333333
1435017.5	145.8237704918033	0.0
1441376.0	149.26411483253588	0.0
1447732.5	151.05148342059337	6462.333333333333
1454085.5	151.7027027027027	0.0
1460426.5	148.9847169155957	0.0
1466754.5	142.16666666666666	6462.333333333333
1473074.0	144.49490069779924	0.0
1479389.0	151.5469387755102	0.0
1485690.5	148.91825613079018	6462.333333333333
1491978.5	157.33333333333334	0.0
1497481.5	145.56688741721854	0.0
1500624.5	145.82193732193733	6462.333333333333
1504551.5	147.66510538641685	0.0
1510836.0	168.80253164556962	0.0
1517118.5	149.3191906005222	6462.333333333333
1523400.5	151.07753705815279	0.0
1529679.0	148.3125	0.0
1535953.0	148.84348864994027	6462.333333333333
1542223.5	236.11111111111111	0.0
1548490.0	135.14798712664447	0.0
1554753.5	142.86827956989248	6462.333333333333
1561014.5	147.58847736625515	0.0
1567274.5	148.52549019607844	0.0
1573533.5	153.11638954869358	6462.333333333333
1579786.5	147.24402985074627	0.0
