#Coverage (X)	Coverage
1.0	75.74981009578985
2.0	67.7541831098632
3.0	61.21926737145969
4.0	56.05803998052852
5.0	51.86308148142418
6.0	48.483516621260556
7.0	45.68455825577091
8.0	43.322421244842175
9.0	41.28857099023752
10.0	39.50403481022679
11.0	37.919888659759984
12.0	36.49458530474449
13.0	35.202444588741784
14.0	34.01753032716729
15.0	32.91853884470365
16.0	31.891877980452634
17.0	30.941916214655848
18.0	30.044276200763647
19.0	29.194044065244213
20.0	28.39361207108699
21.0	27.632844437365122
22.0	26.910477025107596
23.0	26.22133326523692
24.0	25.56479442306687
25.0	24.93483316932638
26.0	24.32980665674509
27.0	23.752141818790577
28.0	23.19605268605858
29.0	22.663024755188047
30.0	22.148117483048594
31.0	21.650185410382733
32.0	21.172412887256684
33.0	20.710527443983622
34.0	20.263432960063355
35.0	19.830864072990366
36.0	19.412384734828464
37.0	19.00918974359243
38.0	18.618829496655948
39.0	18.242616138267422
40.0	17.877678686143526
41.0	17.526677432739064
42.0	17.18478118027771
43.0	16.855398303453455
44.0	16.53602586044289
45.0	16.226589176370084
46.0	15.927056247716791
47.0	15.635336177957129
48.0	15.351893018105756
49.0	15.076668095045875
50.0	14.810390822297691
51.0	14.553546586554702
